Time,Pitch(Deg),Roll(Deg),Yaw(Deg),AngVelX(PitchSpeed),AngVelZ(RollSpeed),AngVelY(YawSpeed),VerticalVelocity,Altitude
6.060,-0.25,-0.61,348.69,-0.021,0.122,0.000,-1.194,7.880
6.080,-0.24,-0.63,348.69,0.008,-0.020,0.000,-1.228,7.855
6.100,-0.24,-0.49,348.69,-0.020,0.123,0.000,-1.261,7.830
6.120,-0.23,-0.51,348.69,0.009,-0.020,0.000,-1.294,7.804
6.140,-0.23,-0.37,348.69,-0.020,0.123,0.000,-1.327,7.777
6.160,-0.22,-0.39,348.69,0.009,-0.020,0.000,-1.359,7.750
6.180,-0.22,-0.25,348.69,-0.020,0.123,0.000,-1.391,7.722
6.200,-0.21,-0.27,348.69,0.009,-0.020,0.000,-1.423,7.694
6.220,-0.20,-0.13,348.69,-0.020,0.123,0.000,-1.455,7.665
6.240,-0.20,-0.16,348.69,0.009,-0.020,0.000,-1.486,7.635
6.260,-0.19,-0.01,348.69,-0.020,0.123,0.000,-1.516,7.605
6.280,-0.19,-0.04,348.69,0.009,-0.020,0.000,-1.547,7.574
6.300,-0.18,0.11,348.69,-0.020,0.123,0.000,-1.577,7.542
6.320,-0.18,0.08,348.69,0.009,-0.020,0.000,-1.607,7.510
6.340,-0.17,0.23,348.69,-0.020,0.123,0.000,-1.636,7.478
6.360,-0.17,0.20,348.69,0.009,-0.020,0.000,-1.665,7.444
6.380,-0.16,0.34,348.69,-0.020,0.123,0.000,-1.694,7.410
6.400,-0.16,0.32,348.69,0.009,-0.020,0.000,-1.723,7.376
6.420,-0.15,0.46,348.69,-0.020,0.123,0.000,-1.751,7.341
6.440,-0.15,0.44,348.69,0.009,-0.020,0.000,-1.779,7.305
6.460,-0.14,0.58,348.69,-0.020,0.123,0.000,-1.807,7.269
6.480,-0.14,0.56,348.69,0.009,-0.020,0.000,-1.835,7.232
6.500,-0.13,0.70,348.69,-0.020,0.123,0.000,-1.862,7.195
6.520,-0.12,0.68,348.69,0.009,-0.020,0.000,-1.889,7.157
6.540,-0.12,0.82,348.69,-0.020,0.123,0.000,-1.916,7.119
6.560,-0.11,0.80,348.69,0.009,-0.020,0.000,-1.942,7.080
6.580,-0.11,0.94,348.69,-0.020,0.123,0.000,-1.968,7.041
6.600,-0.10,0.92,348.69,0.009,-0.020,0.000,-1.994,7.001
6.620,-0.10,1.06,348.69,-0.020,0.123,0.000,-2.020,6.961
6.640,-0.09,1.04,348.69,0.009,-0.020,0.000,-2.045,6.920
6.660,-0.09,1.18,348.69,-0.020,0.123,0.000,-2.070,6.878
6.680,-0.08,1.15,348.69,0.009,-0.020,0.000,-2.095,6.836
6.700,-0.08,1.30,348.69,-0.020,0.123,0.000,-2.120,6.794
6.720,-0.07,1.27,348.69,0.009,-0.020,0.000,-2.144,6.751
6.740,-0.07,1.42,348.69,-0.020,0.123,0.000,-2.169,6.708
6.760,-0.06,1.39,348.69,0.009,-0.020,0.000,-2.193,6.664
6.780,-0.05,1.54,348.69,-0.020,0.123,0.000,-2.216,6.620
6.800,-0.05,1.51,348.69,0.009,-0.020,0.000,-2.240,6.575
6.820,-0.04,1.65,348.69,-0.020,0.123,0.000,-2.263,6.529
6.840,-0.04,1.63,348.69,0.009,-0.020,0.000,-2.286,6.484
6.860,-0.03,1.77,348.69,-0.020,0.123,0.000,-2.309,6.438
6.880,-0.03,1.75,348.69,0.009,-0.020,0.000,-2.331,6.391
6.900,-0.02,1.89,348.69,-0.020,0.123,0.000,-2.354,6.344
6.920,-0.02,1.87,348.69,0.009,-0.020,0.000,-2.376,6.296
6.940,0.00,2.00,348.69,-0.009,0.112,0.000,-2.397,6.248
6.960,0.01,1.95,348.69,0.022,-0.034,0.001,-2.417,6.200
6.980,0.01,2.05,348.69,-0.017,0.085,0.000,-2.436,6.151
7.000,0.01,1.98,348.69,0.009,-0.066,0.000,-2.455,6.102
7.020,0.00,2.06,348.69,-0.023,0.071,0.000,-2.472,6.053
7.040,-0.01,1.98,348.69,0.005,-0.075,0.000,-2.489,6.003
7.060,-0.02,2.06,348.69,-0.025,0.066,0.000,-2.505,5.953
7.080,-0.04,1.97,348.69,0.003,-0.079,0.000,-2.522,5.902
7.100,-0.05,2.04,348.69,-0.026,0.064,0.000,-2.538,5.852
7.120,-0.07,1.95,348.69,0.003,-0.080,-0.001,-2.554,5.801
7.140,-0.08,2.02,348.69,-0.019,0.058,0.000,-2.569,5.749
7.160,-0.08,1.92,348.69,0.011,-0.086,0.000,-2.584,5.698
7.180,-0.09,1.99,348.69,-0.015,0.055,0.000,-2.599,5.646
7.200,-0.09,1.89,348.69,0.014,-0.088,0.000,-2.613,5.593
7.220,-0.10,1.95,348.69,-0.014,0.054,0.000,-2.628,5.541
